,Gender,Gender_Male,Gender_Female,Age,DaysDrink,Overdrawn
0,Female,0,1,19,Low,0
1,Male,1,0,19,High,0
2,Male,1,0,19,Moderate,0
3,Female,0,1,19,Moderate,0
4,Female,0,1,19,None,0
5,Male,1,0,20,None,0
6,Female,0,1,19,High,1
7,Female,0,1,19,None,0
9,Male,1,0,19,Low,0
10,Female,0,1,19,Low,1
11,Male,1,0,19,Moderate,0
12,Female,0,1,21,None,0
13,Male,1,0,18,Moderate,0
14,Female,0,1,19,Moderate,0
15,Male,1,0,20,High,0
16,Female,0,1,20,Moderate,0
17,Female,0,1,18,None,0
18,Male,1,0,19,High,0
19,Female,0,1,19,Low,0
20,Female,0,1,19,None,1
21,Male,1,0,21,None,0
22,Male,1,0,19,Moderate,0
23,Female,0,1,19,Moderate,1
24,Male,1,0,18,Low,0
25,Male,1,0,19,None,1
26,Female,0,1,19,None,0
27,Male,1,0,19,Low,0
28,Female,0,1,19,None,0
29,Male,1,0,19,High,0
30,Female,0,1,19,None,0
31,Male,1,0,21,None,0
32,Male,1,0,21,High,0
33,Female,0,1,19,Low,0
34,Male,1,0,19,Low,0
35,Male,1,0,20,High,0
36,Female,0,1,19,Moderate,0
37,Male,1,0,19,None,0
38,Male,1,0,18,High,1
39,Female,0,1,19,Low,0
40,Female,0,1,21,Low,0
41,Female,0,1,19,Low,0
42,Female,0,1,18,None,0
43,Female,0,1,19,Low,0
44,Female,0,1,20,High,1
45,Female,0,1,19,Low,1
46,Female,0,1,19,None,0
47,Female,0,1,20,Low,0
48,Female,0,1,19,None,0
49,Female,0,1,19,High,0
50,Male,1,0,20,High,0
51,Male,1,0,19,None,0
52,Female,0,1,18,Low,0
53,Male,1,0,19,None,0
54,Female,0,1,19,Moderate,0
55,Female,0,1,19,Moderate,0
56,Female,0,1,18,Low,0
57,Female,0,1,19,High,1
58,Female,0,1,21,Low,0
59,Female,0,1,20,Low,0
60,Male,1,0,20,High,0
61,Male,1,0,19,Moderate,0
62,Female,0,1,21,Low,0
63,Male,1,0,20,Moderate,0
64,Female,0,1,18,High,0
65,Male,1,0,19,Low,0
66,Female,0,1,18,High,1
67,Male,1,0,19,None,0
68,Female,0,1,19,Low,1
69,Female,0,1,19,None,1
70,Female,0,1,18,None,0
71,Male,1,0,19,None,0
72,Male,1,0,18,None,0
73,Male,1,0,18,Moderate,0
74,Female,0,1,19,None,0
75,Male,1,0,19,None,0
76,Male,1,0,19,Low,0
77,Male,1,0,19,Moderate,0
78,Male,1,0,18,None,0
79,Male,1,0,19,None,0
80,Female,0,1,19,Moderate,0
81,Male,1,0,19,Low,0
82,Male,1,0,19,High,0
83,Male,1,0,20,Moderate,0
84,Male,1,0,21,None,0
85,Female,0,1,19,Low,0
86,Male,1,0,19,High,0
87,Female,0,1,19,None,0
88,Male,1,0,20,None,0
89,Female,0,1,18,None,0
90,Female,0,1,19,High,0
91,Female,0,1,18,Low,0
92,Female,0,1,19,High,0
93,Male,1,0,19,Low,0
94,Female,0,1,19,Moderate,0
95,Male,1,0,20,High,0
96,Female,0,1,18,None,0
97,Female,0,1,21,High,0
98,Female,0,1,20,None,0
99,Male,1,0,19,None,0
100,Male,1,0,19,Moderate,0
101,Male,1,0,21,Low,0
102,Male,1,0,19,Moderate,0
103,Male,1,0,18,None,0
104,Male,1,0,21,Low,0
105,Female,0,1,18,Low,0
106,Female,0,1,19,Low,0
107,Female,0,1,19,Low,0
108,Female,0,1,19,None,1
109,Female,0,1,19,None,0
110,Male,1,0,19,High,0
111,Female,0,1,19,Moderate,0
112,Male,1,0,19,None,0
113,Male,1,0,21,None,0
114,Male,1,0,20,High,0
115,Female,0,1,19,Low,0
116,Male,1,0,20,None,0
117,Female,0,1,19,Low,0
118,Male,1,0,19,Low,0
119,Male,1,0,19,High,1
120,Female,0,1,20,None,0
121,Female,0,1,20,Moderate,1
122,Female,0,1,19,None,0
123,Female,0,1,19,Low,0
124,Male,1,0,19,Low,0
125,Female,0,1,21,Low,1
126,Female,0,1,19,Low,0
127,Female,0,1,19,Low,0
128,Male,1,0,21,Moderate,0
129,Female,0,1,20,Low,0
130,Female,0,1,21,None,1
132,Female,0,1,19,Moderate,0
133,Female,0,1,19,Low,0
135,Female,0,1,19,Low,0
136,Female,0,1,21,Low,0
137,Female,0,1,21,None,0
138,Female,0,1,20,Moderate,0
139,Female,0,1,19,Low,0
140,Male,1,0,20,Low,0
141,Male,1,0,19,Low,0
142,Male,1,0,20,None,0
143,Female,0,1,18,Low,0
145,Male,1,0,21,Low,0
146,Female,0,1,19,None,0
147,Female,0,1,18,Moderate,0
148,Male,1,0,21,None,0
149,Male,1,0,19,Moderate,0
150,Male,1,0,19,None,0
151,Female,0,1,20,None,0
152,Male,1,0,20,High,0
153,Male,1,0,20,Moderate,0
154,Female,0,1,19,None,0
155,Female,0,1,18,Low,1
156,Male,1,0,19,Moderate,0
157,Male,1,0,19,Moderate,0
158,Female,0,1,19,Moderate,0
159,Female,0,1,19,Low,0
160,Female,0,1,19,Moderate,0
161,Female,0,1,18,None,0
162,Female,0,1,21,Moderate,0
163,Female,0,1,18,Moderate,0
164,Male,1,0,19,High,0
165,Female,0,1,19,None,0
166,Female,0,1,18,Low,0
167,Male,1,0,19,Moderate,0
168,Female,0,1,20,High,0
169,Male,1,0,20,Moderate,0
170,Female,0,1,18,Moderate,0
171,Male,1,0,20,Low,0
172,Female,0,1,20,Low,0
173,Female,0,1,19,High,1
174,Male,1,0,19,Low,1
175,Male,1,0,19,High,0
176,Female,0,1,19,Low,1
177,Female,0,1,19,Low,0
178,Female,0,1,18,None,0
179,Male,1,0,18,High,0
180,Male,1,0,19,Moderate,0
181,Female,0,1,19,High,0
182,Female,0,1,20,None,0
183,Female,0,1,18,None,0
184,Male,1,0,19,Low,0
185,Female,0,1,18,High,0
186,Male,1,0,19,High,0
187,Female,0,1,19,High,0
188,Male,1,0,19,High,0
189,Female,0,1,20,Moderate,1
190,Male,1,0,20,High,0
191,Female,0,1,20,None,0
192,Female,0,1,20,Low,0
193,Male,1,0,21,Moderate,0
194,Female,0,1,20,None,0
195,Female,0,1,19,Moderate,0
196,Male,1,0,18,None,0
197,Female,0,1,18,None,0
198,Female,0,1,20,Low,0
199,Male,1,0,20,High,0
200,Male,1,0,19,None,0
201,Male,1,0,19,Moderate,0
202,Male,1,0,19,High,0
203,Female,0,1,19,Moderate,0
204,Female,0,1,20,Low,0
206,Female,0,1,19,Low,0
207,Female,0,1,18,High,0
208,Female,0,1,20,Moderate,0
209,Male,1,0,19,None,0
210,Male,1,0,19,Moderate,0
211,Male,1,0,20,None,0
212,Female,0,1,19,Low,0
213,Male,1,0,19,Moderate,1
214,Female,0,1,20,Low,0
215,Male,1,0,19,None,0
216,Male,1,0,20,Moderate,0
217,Male,1,0,19,Low,0
218,Female,0,1,18,None,0
219,Female,0,1,18,High,0
221,Male,1,0,19,High,0
222,Male,1,0,19,None,0
223,Female,0,1,18,High,0
224,Female,0,1,19,Moderate,1
225,Male,1,0,21,Moderate,0
226,Female,0,1,18,Moderate,0
227,Female,0,1,19,High,0
228,Male,1,0,20,Moderate,0
229,Male,1,0,19,Moderate,0
230,Female,0,1,20,High,1
231,Female,0,1,18,High,0
232,Male,1,0,18,Moderate,0
233,Male,1,0,18,None,0
234,Male,1,0,21,High,0
235,Female,0,1,21,None,0
236,Female,0,1,19,High,1
237,Female,0,1,20,Low,0
238,Female,0,1,19,Low,0
239,Male,1,0,18,High,0
240,Female,0,1,19,None,0
241,Male,1,0,19,High,0
242,Female,0,1,19,None,0
243,Male,1,0,21,High,0
244,Female,0,1,18,High,1
245,Male,1,0,19,None,0
246,Female,0,1,21,Moderate,0
247,Male,1,0,20,None,0
248,Female,0,1,19,Low,0
249,Female,0,1,20,None,0
250,Male,1,0,19,High,0
251,Female,0,1,18,Moderate,0
252,Female,0,1,19,None,0
253,Male,1,0,20,Moderate,1
254,Male,1,0,19,High,1
255,Female,0,1,19,High,0
256,Male,1,0,19,Low,0
257,Male,1,0,20,None,0
258,Female,0,1,19,Moderate,0
259,Female,0,1,19,High,0
260,Male,1,0,20,High,0
261,Female,0,1,21,High,1
262,Female,0,1,19,Moderate,0
263,Female,0,1,19,None,0
264,Female,0,1,20,Low,0
265,Female,0,1,19,None,0
267,Female,0,1,20,High,1
268,Female,0,1,20,Low,0
270,Male,1,0,19,High,0
271,Female,0,1,19,None,1
272,Male,1,0,21,High,0
273,Male,1,0,19,Moderate,0
274,Female,0,1,19,Low,0
275,Male,1,0,20,None,0
276,Male,1,0,21,Low,0
277,Male,1,0,19,High,0
278,Female,0,1,19,None,0
279,Male,1,0,19,Low,0
280,Female,0,1,19,High,0
281,Male,1,0,20,Low,0
282,Male,1,0,21,Low,0
283,Female,0,1,20,Low,0
284,Female,0,1,20,None,0
285,Male,1,0,20,Moderate,1
286,Female,0,1,20,Low,0
287,Male,1,0,21,Low,0
288,Female,0,1,20,None,1
289,Female,0,1,19,Moderate,1
290,Female,0,1,18,Moderate,0
291,Female,0,1,19,None,0
292,Female,0,1,19,None,0
293,Male,1,0,18,Moderate,0
294,Female,0,1,21,Low,1
295,Female,0,1,18,Low,0
297,Female,0,1,19,Low,0
298,Male,1,0,20,Low,0
299,Female,0,1,19,Low,0
300,Male,1,0,21,High,0
301,Male,1,0,20,None,0
302,Male,1,0,20,Low,0
303,Female,0,1,19,None,0
304,Female,0,1,19,Moderate,0
305,Female,0,1,19,Low,0
306,Female,0,1,19,None,0
307,Male,1,0,20,None,0
308,Female,0,1,19,None,0
309,Female,0,1,19,None,0
310,Male,1,0,21,Low,0
311,Female,0,1,19,Moderate,0
314,Female,0,1,19,None,0
315,Male,1,0,19,None,0
316,Female,0,1,20,Low,0
318,Male,1,0,19,Moderate,0
320,Female,0,1,19,High,0
321,Male,1,0,19,Low,0
323,Female,0,1,19,None,0
324,Female,0,1,21,Moderate,1
325,Male,1,0,19,None,0
326,Male,1,0,20,High,0
327,Male,1,0,21,Low,0
328,Female,0,1,19,None,1
329,Female,0,1,18,None,0
330,Male,1,0,18,Moderate,0
331,Male,1,0,20,Low,0
332,Male,1,0,19,Moderate,0
333,Male,1,0,19,High,0
334,Female,0,1,19,None,0
335,Male,1,0,19,Moderate,0
336,Male,1,0,19,None,0
337,Male,1,0,20,Low,1
338,Female,0,1,19,None,0
339,Female,0,1,19,High,0
340,Male,1,0,20,None,0
341,Female,0,1,21,None,0
342,Male,1,0,19,Low,0
343,Female,0,1,18,High,1
344,Male,1,0,20,Moderate,0
345,Male,1,0,21,None,0
346,Female,0,1,18,None,0
347,Male,1,0,19,Low,0
348,Male,1,0,19,Low,0
349,Female,0,1,19,None,0
350,Female,0,1,19,None,0
351,Female,0,1,20,Low,0
352,Female,0,1,19,Low,0
353,Female,0,1,19,Moderate,0
354,Female,0,1,19,None,1
355,Male,1,0,19,Moderate,0
356,Female,0,1,19,High,0
357,Female,0,1,19,High,0
358,Male,1,0,19,None,0
359,Female,0,1,19,None,0
360,Female,0,1,18,None,0
361,Male,1,0,20,Low,0
362,Female,0,1,19,Low,0
363,Female,0,1,19,None,0
364,Female,0,1,19,None,0
365,Female,0,1,20,High,1
366,Male,1,0,21,None,0
367,Female,0,1,18,None,0
368,Female,0,1,19,High,0
369,Male,1,0,19,High,0
370,Female,0,1,19,Moderate,0
371,Female,0,1,19,High,0
372,Male,1,0,19,High,0
373,Male,1,0,20,Low,0
374,Female,0,1,18,None,0
375,Female,0,1,18,High,1
376,Female,0,1,19,Low,0
377,Female,0,1,19,Low,0
378,Female,0,1,19,High,0
379,Male,1,0,19,High,0
380,Male,1,0,20,High,1
381,Female,0,1,19,None,0
382,Male,1,0,20,Low,0
383,Female,0,1,19,Moderate,0
384,Female,0,1,18,None,0
385,Female,0,1,20,Moderate,0
386,Female,0,1,19,Moderate,1
387,Male,1,0,19,None,0
388,Male,1,0,21,High,0
389,Male,1,0,19,High,0
390,Female,0,1,18,High,0
391,Female,0,1,18,None,0
392,Male,1,0,19,Low,0
393,Female,0,1,21,High,1
394,Male,1,0,19,Low,0
395,Female,0,1,18,Moderate,0
396,Male,1,0,20,High,1
397,Male,1,0,19,High,0
398,Female,0,1,19,High,0
399,Female,0,1,18,High,0
400,Male,1,0,20,High,0
401,Female,0,1,19,High,0
402,Male,1,0,19,High,0
403,Male,1,0,20,Moderate,0
404,Female,0,1,19,High,0
405,Female,0,1,18,Moderate,0
406,Male,1,0,19,High,1
407,Male,1,0,19,High,0
408,Male,1,0,20,High,0
409,Male,1,0,21,Low,0
410,Female,0,1,18,High,0
411,Female,0,1,18,High,0
412,Male,1,0,19,None,0
413,Female,0,1,19,High,1
414,Female,0,1,20,High,0
415,Male,1,0,18,Moderate,0
416,Female,0,1,18,Moderate,1
417,Female,0,1,18,Moderate,1
418,Female,0,1,19,High,0
419,Female,0,1,21,None,1
420,Female,0,1,19,None,0
421,Female,0,1,19,Moderate,0
422,Female,0,1,19,None,0
424,Male,1,0,20,None,0
425,Male,1,0,20,Moderate,0
426,Female,0,1,18,None,0
427,Male,1,0,19,Low,0
428,Male,1,0,20,High,0
429,Female,0,1,19,Low,0
430,Female,0,1,18,Moderate,0
431,Male,1,0,20,Low,0
432,Male,1,0,19,Low,0
433,Male,1,0,20,Low,0
434,Female,0,1,20,High,1
435,Male,1,0,19,Moderate,0
436,Female,0,1,18,None,0
437,Female,0,1,21,Moderate,0
438,Female,0,1,19,Low,1
439,Female,0,1,19,Moderate,0
440,Male,1,0,20,Moderate,0
441,Female,0,1,18,Low,0
442,Male,1,0,19,High,1
443,Female,0,1,19,High,0
444,Male,1,0,19,Moderate,1
445,Female,0,1,19,Low,0
446,Male,1,0,18,None,0
447,Female,0,1,20,Moderate,1
448,Female,0,1,19,Moderate,0
449,Male,1,0,20,None,0
